Telledata: Rådata;;;;;Felt 1 og 3;Fra Festplassen;;;
Utskriftsdato: 27. februar 2017;;;;;Felt 1 og 3;Fra Festplassen;;;
Tellepunkt: 1200703 - CHRISTIESGT;;;;;;;;
EV 16 Hp: 15 Km: 1509;;;;;;;;
date;time;roadLaneMeasured;numOfVehicles;numOfVehiclesClass1;numOfVehiclesClass2;numOfVehiclesClass3;numOfVehiclesClass4;numOfVehiclesClass5;;
09.05.2016;21:00;1;334;316;2;7;6;2
09.05.2016;21:00;3;164;103;0;22;32;7
09.05.2016;22:00;1;238;219;6;7;6;0
09.05.2016;22:00;3;141;93;0;17;25;6
09.05.2016;23:00;1;199;186;0;6;6;1
09.05.2016;23:00;3;108;63;2;17;19;7
09.05.2016;24:00;1;133;120;3;5;4;1
09.05.2016;24:00;3;102;62;1;11;23;4
10.05.2016;01:00;1;52;41;2;4;3;2
10.05.2016;01:00;3;46;24;0;4;13;5
10.05.2016;02:00;1;24;23;0;0;1;0
10.05.2016;02:00;3;27;23;0;1;2;1
10.05.2016;03:00;1;16;15;1;0;0;0
10.05.2016;03:00;3;12;11;0;0;1;0
10.05.2016;04:00;1;15;15;0;0;0;0
10.05.2016;04:00;3;20;17;1;0;2;0
10.05.2016;05:00;1;13;11;1;1;0;0
10.05.2016;05:00;3;17;11;0;1;5;0
10.05.2016;06:00;1;41;30;4;5;1;1
10.05.2016;06:00;3;29;16;1;4;8;0
10.05.2016;07:00;1;210;160;14;24;10;2
10.05.2016;07:00;3;138;54;2;27;50;5
10.05.2016;08:00;1;336;282;13;24;11;6
10.05.2016;08:00;3;176;64;5;47;40;14
10.05.2016;09:00;1;487;414;28;30;9;5
10.05.2016;09:00;3;305;132;6;64;76;23
10.05.2016;10:00;1;414;353;23;31;4;1
10.05.2016;10:00;3;226;122;7;42;43;12
10.05.2016;11:00;1;458;408;21;25;3;1
10.05.2016;11:00;3;227;133;11;29;46;8
10.05.2016;12:00;1;457;400;26;24;5;2
10.05.2016;12:00;3;217;142;8;21;40;6
10.05.2016;13:00;1;463;410;20;21;9;1
10.05.2016;13:00;3;227;136;10;32;40;9
10.05.2016;14:00;1;499;446;21;22;6;4
10.05.2016;14:00;3;240;150;9;28;42;10
10.05.2016;15:00;1;488;435;20;21;9;2
10.05.2016;15:00;3;291;154;5;47;66;17
10.05.2016;16:00;1;509;443;12;31;15;6
10.05.2016;16:00;3;294;143;9;54;67;17
10.05.2016;17:00;1;486;442;4;26;11;2
10.05.2016;17:00;3;274;131;8;40;74;18
10.05.2016;18:00;1;504;465;12;16;8;3
10.05.2016;18:00;3;275;176;4;36;49;10
10.05.2016;19:00;1;430;404;4;14;8;0
10.05.2016;19:00;3;211;139;3;24;31;13
10.05.2016;20:00;1;390;365;6;11;6;2
10.05.2016;20:00;3;184;113;3;20;37;9
10.05.2016;21:00;1;343;327;2;7;6;1
10.05.2016;21:00;3;164;100;3;27;27;7
10.05.2016;22:00;1;262;242;5;10;3;2
10.05.2016;22:00;3;149;104;0;12;28;4
10.05.2016;23:00;1;222;205;3;11;3;0
10.05.2016;23:00;3;103;63;1;15;18;6
10.05.2016;24:00;1;126;112;0;10;3;1
10.05.2016;24:00;3;91;55;1;11;20;4
11.05.2016;01:00;1;51;37;4;6;3;1
11.05.2016;01:00;3;67;45;0;5;10;7
11.05.2016;02:00;1;29;28;0;0;1;0
11.05.2016;02:00;3;39;37;0;0;1;1
11.05.2016;03:00;1;23;22;0;0;1;0
11.05.2016;03:00;3;22;21;0;1;0;0
11.05.2016;04:00;1;17;15;1;1;0;0
11.05.2016;04:00;3;36;33;0;1;2;0
11.05.2016;05:00;1;14;11;2;1;0;0
